P(LCR)	species	genus	family	order	class	phylum	domain
100	0.6320	0.2555	0.0974	0.0150	0.0000	0.0000	0.0001
99	0.0327	0.3708	0.4769	0.1160	0.0032	0.0004	0.0000
98	0.0041	0.1940	0.6280	0.1614	0.0119	0.0004	0.0002
97	0.0013	0.0866	0.6002	0.2929	0.0181	0.0005	0.0005
96	0.0006	0.0472	0.5447	0.3226	0.0846	0.0000	0.0004
95	0.0002	0.0245	0.4006	0.3625	0.2120	0.0002	0.0000
94	0.0002	0.0107	0.2441	0.4006	0.3431	0.0011	0.0002
93	0.0000	0.0051	0.1714	0.3734	0.4480	0.0015	0.0005
92	0.0000	0.0024	0.1227	0.2897	0.5822	0.0023	0.0007
91	0.0000	0.0011	0.0905	0.2115	0.6844	0.0116	0.0008
90	0.0000	0.0006	0.0677	0.1597	0.7326	0.0387	0.0008
89	0.0000	0.0005	0.0570	0.1316	0.7269	0.0822	0.0018
88	0.0000	0.0004	0.0495	0.0990	0.7009	0.1442	0.0060
87	0.0000	0.0003	0.0447	0.0750	0.6167	0.2438	0.0195
86	0.0000	0.0002	0.0400	0.0679	0.4672	0.3669	0.0578
85	0.0000	0.0002	0.0309	0.0622	0.3113	0.4714	0.1239
84	0.0000	0.0002	0.0189	0.0478	0.1940	0.5158	0.2233
83	0.0000	0.0001	0.0089	0.0316	0.1101	0.4932	0.3561
82	0.0000	0.0001	0.0044	0.0206	0.0582	0.4200	0.4967
81	0.0000	0.0000	0.0023	0.0142	0.0320	0.3306	0.6208
80	0.0000	0.0001	0.0013	0.0088	0.0193	0.2517	0.7189

P(CR)	species	genus	family	order	class	phylum	domain
100	0.6320	0.8875	0.9849	0.9999	0.9999	0.9999	1.0000
99	0.0327	0.4036	0.8804	0.9964	0.9996	1.0000	1.0000
98	0.0041	0.1981	0.8261	0.9876	0.9994	0.9998	1.0000
97	0.0013	0.0879	0.6881	0.9810	0.9990	0.9995	1.0000
96	0.0006	0.0478	0.5924	0.9150	0.9996	0.9996	1.0000
95	0.0002	0.0247	0.4253	0.7878	0.9998	1.0000	1.0000
94	0.0002	0.0109	0.2550	0.6556	0.9987	0.9998	1.0000
93	0.0000	0.0051	0.1765	0.5499	0.9980	0.9995	1.0000
92	0.0000	0.0024	0.1251	0.4148	0.9970	0.9993	1.0000
91	0.0000	0.0011	0.0917	0.3031	0.9876	0.9992	1.0000
90	0.0000	0.0006	0.0683	0.2280	0.9605	0.9992	1.0000
89	0.0000	0.0005	0.0575	0.1891	0.9160	0.9982	1.0000
88	0.0000	0.0004	0.0499	0.1488	0.8498	0.9940	1.0000
87	0.0000	0.0003	0.0449	0.1199	0.7366	0.9805	1.0000
86	0.0000	0.0002	0.0402	0.1081	0.5752	0.9422	1.0000
85	0.0000	0.0002	0.0311	0.0933	0.4046	0.8761	1.0000
84	0.0000	0.0002	0.0191	0.0669	0.2609	0.7767	1.0000
83	0.0000	0.0001	0.0090	0.0407	0.1507	0.6439	1.0000
82	0.0000	0.0001	0.0044	0.0250	0.0832	0.5033	1.0000
81	0.0000	0.0000	0.0024	0.0166	0.0486	0.3792	1.0000
80	0.0000	0.0001	0.0014	0.0102	0.0294	0.2811	1.0000
