P(LCR)	genus	family	order	class	phylum	domain
100	0.9895	0.0085	0.0002	0.0019	0.0000	0.0000
99	0.9513	0.0464	0.0019	0.0004	0.0000	0.0000
98	0.8316	0.1635	0.0041	0.0008	0.0000	0.0000
97	0.7279	0.2535	0.0183	0.0003	0.0000	0.0000
96	0.5120	0.3941	0.0925	0.0014	0.0001	0.0000
95	0.3195	0.4182	0.2499	0.0123	0.0001	0.0000
94	0.1409	0.2874	0.5463	0.0254	0.0001	0.0000
93	0.0474	0.1562	0.7546	0.0416	0.0002	0.0000
92	0.0253	0.0918	0.8103	0.0723	0.0003	0.0000
91	0.0142	0.0515	0.8363	0.0979	0.0001	0.0000
90	0.0080	0.0393	0.8111	0.1413	0.0002	0.0000
89	0.0058	0.0412	0.7156	0.2365	0.0008	0.0000
88	0.0032	0.0441	0.6201	0.3303	0.0021	0.0002
87	0.0023	0.0419	0.5352	0.4137	0.0064	0.0006
86	0.0021	0.0435	0.4334	0.5002	0.0202	0.0007
85	0.0012	0.0443	0.3061	0.5824	0.0626	0.0034
84	0.0006	0.0459	0.2192	0.5372	0.1743	0.0227
83	0.0005	0.0319	0.1419	0.4116	0.3290	0.0850
82	0.0005	0.0123	0.0774	0.2634	0.4309	0.2155
81	0.0004	0.0055	0.0372	0.1454	0.5015	0.3100
80	0.0002	0.0032	0.0194	0.0727	0.5379	0.3666

P(CR)	genus	family	order	class	phylum	domain
100	0.9895	0.9980	0.9981	1.0000	1.0000	1.0000
99	0.9513	0.9977	0.9996	1.0000	1.0000	1.0000
98	0.8316	0.9951	0.9992	1.0000	1.0000	1.0000
97	0.7279	0.9814	0.9997	1.0000	1.0000	1.0000
96	0.5120	0.9061	0.9986	0.9999	1.0000	1.0000
95	0.3195	0.7377	0.9876	0.9999	1.0000	1.0000
94	0.1409	0.4282	0.9745	0.9999	1.0000	1.0000
93	0.0474	0.2036	0.9582	0.9998	1.0000	1.0000
92	0.0253	0.1171	0.9274	0.9997	1.0000	1.0000
91	0.0142	0.0657	0.9020	0.9999	1.0000	1.0000
90	0.0080	0.0474	0.8585	0.9998	1.0000	1.0000
89	0.0058	0.0470	0.7626	0.9991	1.0000	1.0000
88	0.0032	0.0473	0.6674	0.9977	0.9998	1.0000
87	0.0023	0.0442	0.5794	0.9930	0.9994	1.0000
86	0.0021	0.0456	0.4790	0.9792	0.9993	1.0000
85	0.0012	0.0455	0.3516	0.9340	0.9966	1.0000
84	0.0006	0.0465	0.2657	0.8029	0.9773	1.0000
83	0.0005	0.0324	0.1744	0.5860	0.9150	1.0000
82	0.0005	0.0128	0.0902	0.3536	0.7845	1.0000
81	0.0004	0.0059	0.0431	0.1885	0.6900	1.0000
80	0.0002	0.0034	0.0228	0.0955	0.6334	1.0000
