
BLAST16S_10 v35 phylum
AvgTPR	AvgUCR	AvgMCR	AvgOCR	L1OAcc	AvgAcc	Method
99.8	0.0	0.2	-	-	99.8	BTOP
99.8	0.1	0.1	-	-	99.8	Q2_SK
99.7	0.0	0.3	-	99.6	99.7	CT1
99.7	0.0	0.3	-	-	99.7	RDP50
99.7	0.0	0.3	-	99.8	99.7	TOP
99.7	0.0	0.3	-	99.8	99.7	KTOP
99.7	0.0	0.3	-	-	99.7	Microclass
99.7	0.2	0.1	-	99.7	99.7	SINTAX50
99.7	0.0	0.3	-	99.7	99.7	NBC50
99.6	0.3	0.1	-	99.5	99.6	SINTAX80
99.6	0.2	0.2	-	99.7	99.6	NBC80
99.6	0.2	0.2	-	-	99.6	RDP80
99.5	0.3	0.3	-	-	99.5	Q2_VS
99.4	0.3	0.4	-	99.0	99.4	CT2
99.3	0.5	0.3	-	-	99.3	Q2_BLAST
99.1	0.8	0.1	-	-	99.1	Metaxa2
97.6	2.3	0.1	-	-	97.6	KNN
97.5	2.4	0.1	-	-	97.5	BLCA
95.2	4.6	0.2	-	-	95.2	Q1
