
BLAST16S_10 v35 species
AvgTPR	AvgUCR	AvgMCR	AvgOCR	L1OAcc	AvgAcc	Method
44.3	50.7	5.0	7.6	40.5	23.2	SINTAX80
64.7	26.5	8.7	20.4	38.7	22.3	SINTAX50
63.6	27.3	9.1	24.6	-	21.3	SPINGO
67.3	23.3	9.4	25.2	-	21.3	BLCA
76.5	0.0	23.5	100.0	-	21.2	Microclass
76.4	0.0	23.6	100.0	-	21.1	BTOP
78.0	0.0	22.0	100.0	25.0	21.1	TOP
76.0	0.0	24.0	100.0	24.8	21.0	KTOP
67.9	20.1	12.0	25.8	36.2	20.9	NBC80
67.0	22.4	10.6	24.2	-	20.9	RDP80
74.8	5.4	19.8	57.0	28.7	20.7	NBC50
74.0	5.0	21.0	54.1	-	20.6	RDP50
42.6	34.1	23.4	43.4	-	12.6	Q2_SK
26.6	68.7	4.6	8.8	-	10.4	Metaxa2
23.7	67.0	9.3	24.4	-	7.6	Q1
20.5	69.9	9.6	24.3	18.6	6.9	CT1
2.7	97.2	0.1	0.2	-	2.7	Q2_VS
2.7	97.2	0.1	0.2	1.5	2.7	CT2
0.4	99.5	0.0	0.3	-	0.4	Q2_BLAST
0.0	100.0	0.0	0.0	-	0.0	KNN
