
WITS fl species
AvgTPR	AvgUCR	AvgMCR	AvgOCR	L1OAcc	AvgAcc	Method
91.3	0.0	8.7	100.0	-	35.3	BTOP
85.4	8.3	6.3	46.2	79.8	35.2	SINTAX50
91.6	0.0	8.4	100.0	78.7	35.2	TOP
91.0	0.0	9.0	100.0	-	35.1	Microclass
83.0	14.7	2.3	41.1	-	35.0	SPINGO
90.2	0.0	9.8	100.0	78.2	34.9	KTOP
83.5	11.4	5.1	50.7	-	34.7	BLCA
87.2	2.7	10.1	71.4	77.4	34.1	NBC50
87.2	3.0	9.8	71.0	-	34.1	RDP50
80.4	14.1	5.4	40.3	-	33.6	RDP80
79.8	14.5	5.6	40.4	75.0	33.6	NBC80
73.0	26.5	0.5	21.6	69.2	32.3	SINTAX80
66.7	15.9	17.4	63.8	-	28.3	Q2_SK
56.3	26.1	17.6	68.9	-	25.1	Q1
43.1	31.7	25.2	70.7	44.2	22.5	CT1
10.8	87.0	2.1	4.5	-	5.6	Q2_VS
5.7	93.6	0.7	2.0	6.9	3.1	CT2
1.6	98.3	0.0	1.0	-	1.0	Metaxa2
0.4	99.3	0.2	0.6	-	0.3	Q2_BLAST
0.0	100.0	0.0	0.1	-	0.0	KNN
