
BLAST16S_10 v4 genus
AvgTPR	AvgUCR	AvgMCR	AvgOCR	L1OAcc	AvgAcc	Method
57.5	34.1	8.5	20.9	77.5	50.3	SINTAX50
65.6	18.0	16.4	43.0	-	49.5	RDP50
65.8	17.3	16.9	44.9	76.8	49.4	NBC50
54.6	40.3	5.1	16.7	-	47.4	BLCA
51.3	43.5	5.2	14.8	-	47.3	RDP80
50.8	43.9	5.3	15.3	70.1	46.8	NBC80
70.5	0.0	29.5	100.0	-	45.0	Microclass
70.7	0.0	29.3	100.0	-	44.5	BTOP
69.5	0.0	30.5	100.0	75.8	44.3	TOP
68.4	0.0	31.6	100.0	75.6	44.2	KTOP
43.8	55.1	1.1	7.3	67.0	42.0	SINTAX80
53.7	23.6	22.7	52.2	-	38.7	Q2_SK
54.5	21.3	24.2	67.0	-	38.3	Q1
55.8	14.6	29.7	71.9	67.6	37.7	CT1
21.3	75.1	3.6	10.2	-	19.2	Metaxa2
19.5	67.6	12.9	27.7	39.7	16.3	CT2
19.0	70.8	10.2	24.8	-	16.1	Q2_BLAST
19.3	67.4	13.3	26.9	-	16.1	Q2_VS
1.7	98.3	0.0	0.1	-	1.7	KNN
