
BLAST16S_10 fl genus
AvgTPR	AvgUCR	AvgMCR	AvgOCR	L1OAcc	AvgAcc	Method
82.3	13.0	4.7	45.5	85.5	68.4	NBC80
82.4	13.4	4.3	45.8	-	68.4	RDP80
73.7	23.0	3.3	30.3	86.1	67.7	SINTAX50
87.2	3.1	9.7	75.0	85.3	65.3	NBC50
86.9	4.0	9.1	75.0	-	65.3	RDP50
88.3	0.0	11.7	100.0	-	63.4	Microclass
77.3	13.3	9.4	53.3	-	63.3	BLCA
85.1	0.0	14.9	100.0	83.1	62.7	KTOP
84.5	0.0	15.5	100.0	83.6	62.4	TOP
83.9	0.0	16.1	100.0	-	62.1	BTOP
59.6	39.2	1.2	15.3	74.2	58.2	SINTAX80
73.1	12.8	14.2	62.2	-	57.9	Q2_SK
70.5	13.7	15.8	70.4	76.0	55.4	CT1
66.8	18.0	15.2	60.9	-	53.8	Q1
38.6	58.4	2.9	18.5	-	35.9	Metaxa2
28.7	62.8	8.6	22.0	-	26.3	Q2_VS
28.3	63.2	8.5	22.3	48.1	26.2	CT2
25.1	67.4	7.5	18.8	-	23.5	Q2_BLAST
3.0	97.0	0.0	0.8	-	3.0	KNN
