#  AvgAcc phylum
BLAST16S_10<br>V4	BLAST16S_10<br>V3-V5	BLAST16S_10<br>full-length	WITS<br>full-length	Mean	Method
99.9	99.8	99.9	100.0	99.9	BTOP
99.9	99.7	99.9	100.0	99.9	TOP
99.8	99.8	99.9	100.0	99.9	Q2_SK
99.9	99.7	99.8	100.0	99.9	KTOP
99.9	99.7	99.9	100.0	99.9	SINTAX50
99.9	99.7	99.9	100.0	99.9	Microclass
99.8	99.7	99.9	100.0	99.8	NBC50
99.8	99.7	99.9	100.0	99.8	RDP50
99.8	99.7	99.8	100.0	99.8	CT1
99.4	99.6	99.8	100.0	99.7	SINTAX80
99.3	99.6	99.8	100.0	99.7	RDP80
99.3	99.6	99.8	100.0	99.7	NBC80
99.1	99.5	99.8	100.0	99.6	Q2_VS
99.1	99.4	99.6	100.0	99.5	CT2
98.9	99.3	99.5	99.9	99.4	Q2_BLAST
98.8	99.1	99.4	99.9	99.3	Metaxa2
98.1	97.5	98.4	99.3	98.3	BLCA
97.4	97.6	98.1	99.9	98.3	KNN
94.3	95.2	93.5	98.4	95.3	Q1
