#  AvgAcc species
BLAST16S_10<br>V4	BLAST16S_10<br>V3-V5	BLAST16S_10<br>full-length	WITS<br>full-length	Mean	Method
19.8	23.2	30.3	32.3	26.4	SINTAX80
17.9	22.3	27.7	35.2	25.8	SINTAX50
18.5	21.2	24.7	35.1	24.9	Microclass
18.2	21.1	24.6	35.3	24.8	BTOP
16.8	21.3	25.9	35.0	24.8	SPINGO
18.0	21.1	24.7	35.2	24.7	TOP
18.0	21.0	24.7	34.9	24.7	KTOP
16.9	21.3	24.9	34.7	24.5	BLCA
18.3	20.7	24.5	34.1	24.4	NBC50
17.4	20.9	25.4	33.6	24.3	NBC80
17.8	20.6	24.5	34.1	24.2	RDP50
17.1	20.9	25.2	33.6	24.2	RDP80
10.6	12.6	18.7	28.3	17.5	Q2_SK
6.6	7.6	9.8	25.1	12.3	Q1
5.9	6.9	9.6	22.5	11.2	CT1
5.6	10.4	6.8	1.0	5.9	Metaxa2
0.1	2.7	0.3	5.6	2.2	Q2_VS
0.1	2.7	0.3	3.1	1.6	CT2
0.1	0.4	0.2	0.3	0.3	Q2_BLAST
0.0	0.0	0.0	0.0	0.0	KNN
